Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,DCS,DCS Polarity,Tx Power,Skip,Step,Mask,Attenuator,Clock Shift,Half Dev,Toronto,Toronto RPTs,Business,Sudbury,Music & News,Citizen,INT HAM,BANK 8,BANK 9,BANK10,BANK11,BANK12,BANK13,BANK14,BANK15,BANK16,BANK17,BANK18,BANK19,BANK20,BANK21,BANK22,BANK23,BANK24,Comment,User CTCSS,S-Meter Squelch,Bell,Internet,
38,444.70000,449.70000,5.00 MHz,Plus,Auto,VE3RAK,Tone,103.5 Hz,023,RN-TN,High (5 W),Off,Auto,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
39,444.77500,449.77500,5.00 MHz,Plus,Auto,VA3ATL,Tone,110.9 Hz,023,RN-TN,High (5 W),Off,Auto,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
40,444.85000,449.85000,5.00 MHz,Plus,Auto,VE3UKW,Tone,136.5 Hz,023,RN-TN,High (5 W),Off,Auto,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
41,444.92500,449.92500,5.00 MHz,Plus,Auto,VA3DHJ,T Sql,100.0 Hz,023,RN-TN,High (5 W),Off,Auto,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
42,453.01250,453.01250, ,Simplex,FM,,None,100.0 Hz,023,RN-TN,High (5 W),Off,Auto,Off,Off,Off,Off,On,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Level 4,Off,Off,
43,143.33750,143.33750, ,Simplex,FM,EMS T.O.,None,100.0 Hz,023,RN-TN,High (5 W),Off,Auto,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
44,142.11250,142.11250, ,Simplex,FM,,None,100.0 Hz,023,RN-TN,High (5 W),Off,Auto,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
45,159.13500,159.13500, ,Simplex,FM,Beck Taxi,None,100.0 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
46,163.58750,163.58750, ,Simplex,FM,,None,100.0 Hz,023,RN-TN,High (5 W),Off,Auto,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
47,171.36000,171.36000, ,Simplex,FM,Beck Taxi,None,100.0 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
48,170.07000,170.07000, ,Simplex,FM,Beck Taxi,None,100.0 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
49,170.30500,170.30500, ,Simplex,FM,Beck Taxi,None,100.0 Hz,023,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
50,0.59000,0.59000, ,Simplex,Auto,CJCL,None,100.0 Hz,023,RN-TN,High (5 W),Skip,Auto,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
51,0.68000,0.68000, ,Simplex,Auto,CFTR,None,100.0 Hz,023,RN-TN,High (5 W),Skip,Auto,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
52,0.74000,0.74000, ,Simplex,Auto,CFZM,None,100.0 Hz,023,RN-TN,High (5 W),Skip,Auto,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
53,0.86000,0.86000, ,Simplex,Auto,CJBC,None,100.0 Hz,023,RN-TN,High (5 W),Skip,Auto,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
